,Ticker,Company,Segment,Exchange,Weighting (%)
191,000301.SS,Jiangsu Eastern Shenghong,Materials,Shenzhen,0.156
192,002001.SS,Zhejiang NHU,Health Care,Shenzhen,0.156
193,600741.SS,HUAYU Automotive Systems Company,Consumer Discretionary,Shanghai,0.154
194,601336.SS,New China Life Insurance,Financials,Shanghai,0.153
195,601689.SS,Ningbo Tuopu Group,Consumer Discretionary,Shanghai,0.153
196,688599.SS,Trina Solar,Information Technology,Shanghai,0.153
197,002812.SS,Yunnan Energy New Material,Materials,Shenzhen,0.151
198,600346.SS,Hengli Petrochemical,Materials,Shanghai,0.151
199,000983.SS,Shanxi Coking Coal Energy Group,Energy,Shenzhen,0.148
200,601881.SS,China Galaxy Securities,Financials,Shanghai,0.148
201,600588.SS,Yonyou Network Technology,Information Technology,Shanghai,0.146
202,600515.SS,Hainan Airport Infrastructure,Real Estate,Shanghai,0.144
203,601117.SS,China National Chemical Engineering,Industrials,Shanghai,0.144
204,601838.SS,BANK OF CHENGDU,Financials,Shanghai,0.142
205,688126.SS,National Silicon Industry Group,Information Technology,Shanghai,0.142
206,300450.SS,WUXI LEAD INTELLIGENT EQUIPMENT,Industrials,Shenzhen,0.14
207,002736.SS,Guosen Securities,Financials,Shenzhen,0.139
208,002821.SS,Asymchem Laboratories (Tianjin),Health Care,Shenzhen,0.136
